model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature,outcome_sensitivity,loss_aversion,response_consistency,delta_aic,delta_bic,best_aic,best_bic
q_learning,100,495,Worthy,99.51867047287837,-99.51867047287837,203.03734094575674,208.2476813177329,False,ABNORMAL: ,138,15,1,0.012624582217348678,20.0,,,,82.83242461319762,77.62208424122142,False,False
pvl_delta,100,496,Worthy,138.62943611197912,-138.62943611197912,285.25887222395824,295.6795529679106,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,2,32,1e-06,,1e-06,1e-06,4.942316995863134e-07,3.9999999999798774,9.210340371956022,False,False
q_learning,100,496,Worthy,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,0.0,0.0,True,True
pvl_delta,100,497,Worthy,114.57881622941883,-114.57881622941883,237.15763245883767,247.57831320279004,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,610,74,32,0.813771846729895,,1.401301908843649,0.011712788725418538,1.0563733557887827,0.0,0.0,True,True
q_learning,100,497,Worthy,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,44.10123976514069,38.89089939316452,False,False
pvl_delta,100,498,Worthy,106.52693875399713,-106.52693875399713,221.05387750799426,231.47455825194663,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,105,17,32,0.5375070165199758,,1e-06,0.10073549125791804,1.3075497774200948,0.0,0.0,True,True
q_learning,100,498,Worthy,126.88061395105787,-126.88061395105787,257.7612279021157,262.9715682740919,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,42,9,1,1.0,0.2921395827038653,,,,36.70735039412145,31.497010022145275,False,False
pvl_delta,100,499,Worthy,138.62943611198767,-138.62943611198767,285.25887222397535,295.6795529679277,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25,2,32,1e-06,,1e-06,1.2061603841085635,8.434972724088635e-08,3.9999999999969873,9.210340371973132,False,False
q_learning,100,499,Worthy,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,0.0,0.0,True,True
pvl_delta,100,500,Worthy,138.62943611194999,-138.62943611194999,285.25887222389997,295.6795529678523,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,115,2,32,1e-06,,1e-06,1e-06,1.4210854715202004e-05,3.999999999921613,9.210340371897757,False,False
q_learning,100,500,Worthy,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,0.0,0.0,True,True
pvl_delta,100,501,Worthy,130.19930797017958,-130.19930797017958,268.39861594035915,278.8192966843115,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,300,37,32,0.0019918297049800115,,0.8566704987585345,9.675275249134865,2.1418196674864802,2.1078407044643654,7.31818107644051,False,False
q_learning,100,501,Worthy,131.1453876179474,-131.1453876179474,266.2907752358948,271.501115607871,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,60,16,1,0.05619554288148836,2.803958560143178,,,,0.0,0.0,True,True
