n_trials,subject_id,source_study,q_negative_log_likelihood,pvl_negative_log_likelihood,nll_q_minus_pvl,q_aic,pvl_aic,aic_q_minus_pvl,q_bic,pvl_bic,bic_q_minus_pvl,q_nll_improvement_over_uniform,pvl_nll_improvement_over_uniform,uniform_improvement_pvl_minus_q,q_best_aic,pvl_best_aic,q_best_bic,pvl_best_bic
100,36,Horstmann,138.62943611198918,122.26459997493966,16.364836137049522,281.2588722239784,252.5291999498793,28.7296722740991,286.46921259595456,262.9498806938317,23.51933190212287,-1.1368683772161605e-13,16.36483613704941,16.364836137049522,False,True,False,True
100,37,Horstmann,138.1359019146853,133.1432960434305,4.992605871254796,280.2718038293706,274.286592086861,5.985211742509591,285.4821442013468,284.70727283081334,0.7748713705334467,0.4935341973037737,5.486140068558569,4.992605871254796,False,True,False,True
100,38,Horstmann,137.31327440229657,78.1782565341141,59.13501786818247,278.62654880459314,164.3565130682282,114.27003573636495,283.83688917656934,174.77719381218057,109.05969536438877,1.3161617096924942,60.45117957787497,59.13501786818247,False,True,False,True
100,39,Horstmann,136.22130969640284,110.65778065763814,25.5635290387647,276.4426193928057,229.31556131527628,47.1270580775294,281.6529597647819,239.73624205922863,41.91671770555325,2.4081264155862243,27.971655454350923,25.5635290387647,False,True,False,True
100,40,Horstmann,133.64581176580944,109.90923839008018,23.736573375729265,271.2916235316189,227.81847678016035,43.47314675145853,276.5019639035951,238.2391575241128,38.26280637948227,4.983624346179624,28.72019772190889,23.736573375729265,False,True,False,True
100,41,Horstmann,120.92293500907893,120.01890492742513,0.9040300816538007,245.84587001815785,248.03780985485025,-2.1919398366923986,251.056210390134,258.4584905988026,-7.4022802086686,17.706501102910153,18.61053118456394,0.9040300816537865,True,False,True,False
100,42,Horstmann,136.9356953904188,136.70547413924393,0.2302212511748678,277.8713907808376,281.41094827848787,-3.5395574976502644,283.0817311528138,291.8316290224402,-8.749897869626409,1.693740721570265,1.9239619727451327,0.2302212511748678,True,False,True,False
100,43,Horstmann,134.00272090302113,121.81828983754303,12.184431065478094,272.00544180604226,251.6365796750861,20.36886213095616,277.21578217801846,262.05726041903847,15.158521758979987,4.626715208967937,16.811146274446017,12.18443106547808,False,True,False,True
100,44,Horstmann,118.89090904928209,87.27221799298655,31.618691056295532,241.78181809856417,182.5444359859731,59.237382112591064,246.99215847054035,192.96511672992548,54.02704174061486,19.73852706270698,51.35721811900251,31.618691056295532,False,True,False,True
100,45,Horstmann,137.8461683499034,120.13588860764618,17.710279742257214,279.6923366998068,248.2717772152924,31.4205594845144,284.902677071783,258.69245795924473,26.210219112538255,0.7832677620856714,18.493547504342885,17.710279742257214,False,True,False,True
100,46,Horstmann,83.94122765623992,59.46315560801121,24.478072048228704,171.88245531247983,126.92631121602244,44.95614409645739,177.092795684456,137.3469919599748,39.74580372448122,54.68820845574915,79.16628050397784,24.478072048228697,False,True,False,True
100,47,Horstmann,137.40465456602234,129.61943099162332,7.785223574399026,278.8093091320447,267.23886198324664,11.570447148798053,284.0196495040209,277.659542727199,6.360106776821908,1.2247815459667208,9.010005120365747,7.785223574399026,False,True,False,True
100,48,Horstmann,126.18801032954651,112.0834794698148,14.10453085973171,256.37602065909306,232.1669589396296,24.20906171946345,261.58636103106926,242.58763968358195,18.998721347487304,12.441425782442536,26.545956642174275,14.104530859731739,False,True,False,True
100,49,Horstmann,137.9379162522387,128.64694538983338,9.290970862405317,279.87583250447733,265.29389077966675,14.581941724810576,285.0861728764536,275.7145715236191,9.371601352834489,0.6915198597504002,9.982490722155688,9.290970862405288,False,True,False,True
100,50,Horstmann,130.10379046440434,89.18293715679914,40.9208533076052,264.2075809288087,186.36587431359828,77.8417066152104,269.4179213007849,196.78655505755063,72.63136624323425,8.525645647584724,49.44649895518992,40.92085330760519,False,True,False,True
100,51,Horstmann,136.76276431413226,127.7224137505106,9.040350563621658,277.5255286282645,263.4448275010212,14.080701127243287,282.7358690002407,273.8655082449736,8.870360755267086,1.86667179785681,10.907022361478454,9.040350563621644,False,True,False,True
100,52,Horstmann,130.1300509999155,94.436319581892,35.69373141802352,264.260101999831,196.872639163784,67.38746283604704,269.4704423718072,207.2933199077364,62.177122464070834,8.499385112073554,44.19311653009706,35.6937314180235,False,True,False,True
100,53,Horstmann,138.62943611198918,123.06032620806688,15.569109903922296,281.2588722239784,254.12065241613377,27.13821980784465,286.46921259595456,264.54133316008614,21.92787943586842,-1.1368683772161605e-13,15.569109903922184,15.569109903922298,False,True,False,True
100,54,Horstmann,123.47187055788528,79.27747880509597,44.194391752789315,250.9437411157705,166.5549576101919,84.3887835055786,256.15408148774674,176.9756383541443,79.17844313360243,15.157565554103796,59.3519573068931,44.1943917527893,False,True,False,True
100,55,Horstmann,121.97006791802174,98.51970493697615,23.450362981045586,247.94013583604348,205.0394098739524,42.90072596209109,253.15047620801963,215.4600906179047,37.690385590114914,16.659368193967325,40.1097311750129,23.450362981045572,False,True,False,True
