model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,uniform_choice_nll,nll_improvement_over_uniform,uniform_choice_fit,n_parameters_at_lower_bound,n_parameters_at_upper_bound,n_parameters_at_any_bound,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature,outcome_sensitivity,loss_aversion,response_consistency,comparison_eligible,delta_aic,delta_bic,best_aic,best_bic
q_learning,100,17,Horstmann,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,138.62943611198907,-1.1368683772161603e-13,True,2,0,2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,2,0.0,0.0,,,,True,87.97697237125902,82.76663199928285,False,False
pvl_delta,100,18,Horstmann,62.861115138303084,-62.861115138303084,133.72223027660618,144.14291102055853,138.62943611198907,75.76832097368597,False,1,0,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,140,19,32,0.4651621055407262,,0.031448069768215015,1e-06,1.8280121610129,True,0.0,0.0,True,True
q_learning,100,18,Horstmann,123.12286535843688,-123.12286535843688,250.24573071687377,255.45607108884994,138.62943611198907,15.506570753552182,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,21,4,10,1.0,0.28174345518225674,,,,True,116.52350044026758,111.31316006829141,False,False
pvl_delta,100,19,Horstmann,129.45816636490903,-129.45816636490903,266.91633272981807,277.3370134737704,138.62943611198907,9.171269747080032,False,0,0,0,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,745,99,32,0.6572019159504874,,1.0618407671107897,0.003955485321518899,0.8013912824366053,True,0.0,0.0,True,True
q_learning,100,19,Horstmann,137.57827864079817,-137.57827864079817,279.15655728159635,284.36689765357255,138.62943611198907,1.0511574711908906,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,8,2,1.0,0.07594885320240902,,,,True,12.240224551778283,7.0298841798021385,False,False
pvl_delta,100,20,Horstmann,114.00463901307151,-114.00463901307151,236.00927802614302,246.4299587700954,138.62943611198907,24.624797098917554,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,125,20,32,0.21074328542245024,,1e-06,1.2208870804899727,1.0271195691765147,True,0.0,0.0,True,True
q_learning,100,20,Horstmann,134.0302609545096,-134.0302609545096,272.0605219090192,277.2708622809954,138.62943611198907,4.599175157479465,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,45,12,4,0.8197352699416915,0.25755369273329887,,,,True,36.05124388287618,30.840903510900006,False,False
pvl_delta,100,21,Horstmann,138.62943610587652,-138.62943610587652,285.25887221175304,295.6795529557054,138.62943611198907,6.112543360359268e-09,True,3,0,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,115,2,32,1e-06,,1e-06,1e-06,8.526512829121202e-05,True,3.999999987774686,9.21034035975083,False,False
q_learning,100,21,Horstmann,138.62943611198918,-138.62943611198918,281.25887222397836,286.46921259595456,138.62943611198907,-1.1368683772161603e-13,True,2,0,2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,2,0.0,0.0,,,,True,0.0,0.0,True,True
pvl_delta,100,22,Horstmann,122.89015979709507,-122.89015979709507,253.78031959419013,264.2010003381425,138.62943611198907,15.739276314894,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,95,17,32,0.508011317225281,,0.8401227838200955,1e-06,0.9806853160737431,True,0.0,0.0,True,True
q_learning,100,22,Horstmann,137.41039914481695,-137.41039914481695,278.8207982896339,284.0311386616101,138.62943611198907,1.2190369671721157,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,3,2,1.0,0.09363012659031682,,,,True,25.040478695443767,19.830138323467622,False,False
pvl_delta,100,23,Horstmann,117.88270170048392,-117.88270170048392,243.76540340096784,254.18608414492022,138.62943611198907,20.746734411505145,False,2,0,2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,150,19,32,0.44502972738808316,,1e-06,1e-06,1.0000958204728534,True,0.0,0.0,True,True
q_learning,100,23,Horstmann,137.90331536757193,-137.90331536757193,279.80663073514387,285.01697110712007,138.62943611198907,0.7261207444171305,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,4,4,1.0,0.07540348871614402,,,,True,36.04122733417603,30.830886962199855,False,False
pvl_delta,100,24,Horstmann,133.64734623543666,-133.64734623543666,275.2946924708733,285.71537321482566,138.62943611198907,4.982089876552408,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,140,19,32,0.999999,,0.20859348740182376,0.08230586829731712,0.5157392683068285,True,0.0,1.1659229491384053,True,False
q_learning,100,24,Horstmann,137.66955494685553,-137.66955494685553,279.33910989371105,284.54945026568726,138.62943611198907,0.9598811651335382,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,18,4,10,1.0,0.08173454024865982,,,,True,4.044417422837739,0.0,False,True
pvl_delta,100,25,Horstmann,98.85264104728387,-98.85264104728387,205.70528209456774,216.1259628385201,138.62943611198907,39.7767950647052,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,570,80,32,0.0016853840262444713,,1.3251234258388827,0.4935709486022606,5.0,True,0.0,1.623829440705066,True,False
q_learning,100,25,Horstmann,102.64589651291944,-102.64589651291944,209.29179302583887,214.50213339781504,138.62943611198907,35.98353959906963,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,147,32,9,0.002565209332368036,100.0,,,,True,3.5865109312711354,0.0,False,True
pvl_delta,100,26,Horstmann,103.55761453725154,-103.55761453725154,215.11522907450308,225.53590981845545,138.62943611198907,35.07182157473753,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,145,20,32,0.16034314483241738,,0.7845384301726314,0.6518717771919061,1.360308804552941,True,0.0,2.2240144806727074,True,False
